player,coords,player_num,player_obj,team,num,name,edgecolor,bgcolor
12,"(100.87270667830711, 358.9748447267472)",6.0,12,attack,,,red,white
2226,"(133.86573275787046, 251.93117519975567)",25.0,2226,attack,,,red,white
2479,"(146.78908512980206, 436.60298289276943)",10.0,2479,attack,,,red,white
2724,"(304.7370770398743, 453.89102084058067)",3.0,2724,attack,,,red,white
3724,"(336.67233172282727, 409.580526187905)",,3724,attack,,,red,white
4598,"(171.2732462779248, 309.6478339555086)",,4598,defense,,,orange,darkblue
4599,"(105.08270317163756, 310.1181738180273)",,4599,defense,,,orange,darkblue
4600,"(141.823473755787, 373.3303688574185)",,4600,defense,,,orange,darkblue
4601,"(194.04748324585225, 430.7146940198011)",,4601,defense,,,orange,darkblue
7745,"(184.70756950369795, 372.7604552055377)",,7745,defense,,,orange,darkblue
10076,"(271.3344218055786, 431.20759895156465)",,10076,defense,,,orange,darkblue
11521,"(140.0, 192.0)",,11521,defense,,,orange,darkblue
11522,"(178.5973943587801, 145.000517500412)",,11522,attack,,,red,white
14190,"(291.6829268292683, 201.5609756097561)",,14190,defense,,,orange,darkblue
14191,"(265.9268292682927, 349.8292682926829)",,14191,defense,,,orange,darkblue
14192,"(244.02439024390245, 334.3414634146341)",,14192,attack,,,red,white
14193,"(368.2439024390244, 207.70731707317074)",,14193,attack,,,red,white
14194,"(324.5609756097561, 189.8048780487805)",,14194,attack,,,red,white
16101,"(364.5121951219512, 301.7317073170732)",,16101,attack,,,red,white
16102,"(315.0, 429.0)",,16102,defense,,,orange,darkblue
19091,"(20.448323588800143, 260.14957692856564)",,19091,defense,,,orange,darkblue
