player,coords,player_num,player_obj,team,num,name,edgecolor,bgcolor
12,"(390.82329814922076, 230.3681266177904)",5.0,12,attack,,,red,black
1923,"(192.70181613677647, 287.0911467596564)",6.0,1923,attack,,,red,black
3235,"(187.2173482005435, 323.5288842347714)",8.0,3235,attack,,,red,black
6439,"(218.60259895696848, 226.14081165461812)",,6439,attack,,,red,black
7600,"(174.46875, 274.625)",,7600,defense,,,blue,yellow
14761,"(215.71575859162712, 215.28004377345493)",,14761,defense,,,blue,yellow
16656,"(202.12091085738695, 337.46147632768816)",,16656,defense,,,blue,yellow
18912,"(190.5326064508669, 132.68650155862397)",,18912,defense,,,blue,yellow
21118,"(236.0, 151.0)",,21118,defense,,,blue,yellow
23899,"(342.6033758740193, 193.39115877679416)",,23899,defense,,,blue,yellow
25686,"(398.52750470586994, 214.27410783699221)",,25686,defense,,,blue,yellow
37572,"(287.10170479200815, 271.7485391685611)",,37572,attack,,,red,black
42428,"(198.4123749772249, 33.94978367111291)",,42428,attack,,,red,black
44136,"(278.972381708952, 56.237396503233526)",,44136,defense,,,blue,yellow
44137,"(341.40901702115536, 286.95268565748404)",,44137,defense,,,blue,yellow
48457,"(42.0, 246.0)",,48457,defense,,,blue,yellow
53809,"(350.0, 62.0)",,53809,attack,,,red,black
53810,"(429.0, 119.0)",,53810,attack,,,red,black
53811,"(356.0, 213.0)",,53811,attack,,,red,black
53812,"(359.0, 325.0)",,53812,attack,,,red,black
58367,"(265.0889494896123, 260.6871208118323)",,58367,defense,,,blue,yellow
