player,coords,player_num,player_obj,team,num,name,edgecolor,bgcolor
12,"(136.7259154955094, 166.22695610141977)",10.0,12,attack,,,black,white
1583,"(343.77343151714865, 51.91094646567434)",2.0,13,attack,,,black,white
2248,"(148.21786597279606, 166.84364103805248)",,14,defense,,,white,red
3802,"(142.8434015524876, 191.71472194218805)",,15,defense,,,white,red
4563,"(222.12243059774264, 132.0547213685634)",,16,defense,,,white,red
5867,"(312.24806696292546, 56.81699122099323)",,17,defense,,,white,red
6501,"(294.21750336437725, 39.77842997777177)",,18,defense,,,white,red
7502,"(305.08243042847624, 27.46527258165132)",,19,attack,,,black,white
9617,"(180.0, 266.0)",,20,attack,,,black,white
10678,"(185.09546430530065, 179.4068611404931)",,21,attack,,,black,white
367,"(389.7102803738318, 217.58878504672896)",,367,attack,,,black,white
2256,"(352.65625, 48.875)",,2256,defense,,,white,red
3652,"(21.0, 209.0)",,3652,defense,,,white,red
7300,"(525.9540131642823, 134.37566110704734)",,7300,attack,,,black,white
7301,"(467.872414972532, 132.18923619925005)",,7301,defense,,,white,red
7302,"(515.5298219098647, 80.98513960333622)",,7302,defense,,,white,red
8695,"(356.1584373638937, 121.37524525520615)",,8695,attack,,,black,white
