,dist,dx,dy,goal,player,team,x,y
0,28.9895637946,28.245,6.528,False,James Rodríguez,Porto,76.755,28.832
2,19.254174846,-18.585,5.032,False,Sammir,Dinamo Zagreb,18.585,27.404
8,25.7728136609,-20.79,-15.232,False,Duje Čop,Dinamo Zagreb,20.79,48.28
10,35.1805667379,33.81,-9.724,False,Maicon,Porto,71.19,44.2
12,13.755,13.755,0.0,False,Miguel Lopes,Porto,91.245,38.012
16,15.3800306892,14.28,5.712,True,Lucho González,Porto,90.72,29.172
17,28.3911555947,-22.89,-16.796,False,João Moutinho,Porto,22.89,48.28
18,5.69868616437,5.46,1.632,False,Tonel,Dinamo Zagreb,99.54,29.988
20,24.1202661884,-24.045,-1.904,False,James Rodríguez,Porto,24.045,36.72
22,13.1218834014,-13.02,-1.632,False,Nicolás Otamendi,Porto,13.02,35.496
23,11.8505528985,11.55,-2.652,False,Domagoj Vida,Dinamo Zagreb,93.45,32.368
24,15.2098769226,-11.97,-9.384,False,Christian Atsu,Porto,11.97,41.888
33,8.74320999405,1.365,-8.636,False,Bryan Carrasco,Dinamo Zagreb,103.635,45.764
35,13.8034488444,-9.66,9.86,False,Kléber,Porto,9.66,28.084
39,18.5993871136,-15.855,-9.724,False,Christian Atsu,Porto,15.855,42.704
41,19.5455603399,-18.585,-6.052,False,Steven Defour,Porto,18.585,39.644
46,13.3816878233,-11.865,6.188,True,Steven Defour,Porto,11.865,27.608
47,11.3555724206,-11.025,2.72,True,Zlatan Ibrahimović,PSG,11.025,34.0
51,28.7954792459,27.405,-8.84,False,Ideye Brown,Dynamo Kyiv,77.595,44.948
55,22.3082872718,-13.335,17.884,False,Javier Pastore,PSG,13.335,17.068
60,11.2578513048,-7.14,-8.704,False,Zlatan Ibrahimović,PSG,7.14,40.596
61,15.1676527189,-13.755,-6.392,False,Javier Pastore,PSG,13.755,39.304
62,11.6558352768,-5.88,10.064,True,Thiago Silva,PSG,5.88,26.112
64,11.9514231789,-10.71,5.304,True,Alex,PSG,10.71,31.28
65,15.053454753,14.49,4.08,False,Raffael,Dynamo Kyiv,90.51,29.58
68,22.1742598749,-19.005,11.424,False,Marco Verratti,PSG,19.005,20.672
69,20.8699694537,19.845,-6.46,False,Miguel Veloso,Dynamo Kyiv,85.155,42.908
72,19.6189951068,18.165,-7.412,False,Niko Kranjčar,Dynamo Kyiv,86.835,36.448
77,15.5106313218,-14.07,-6.528,False,Zlatan Ibrahimović,PSG,14.07,39.78
84,24.5066401002,24.465,-1.428,False,Zlatan Ibrahimović,PSG,80.535,36.992
101,27.2157051902,-23.415,13.872,False,Niko Kranjčar,Dynamo Kyiv,23.415,21.624
114,20.4335077997,11.025,-17.204,False,Javier Pastore,PSG,93.975,46.512
116,18.1535918209,-6.72,16.864,False,Ideye Brown,Dynamo Kyiv,6.72,19.992
118,23.7558683487,-13.545,19.516,True,Miguel Veloso,Dynamo Kyiv,13.545,11.492
122,15.0935880757,7.455,13.124,True,Javier Pastore,PSG,97.545,21.216
126,21.4734729608,19.005,-9.996,False,Nenê,PSG,85.995,41.616
127,11.0503451982,-11.025,0.748,True,Younes Belhanda,Montpellier,11.025,34.0
129,34.3794590417,-28.35,19.448,False,Rémy Cabella,Montpellier,28.35,18.088
133,11.0302413845,11.025,0.34,True,Lukas Podolski,Arsenal,93.975,36.992
136,5.273268531,5.145,-1.156,True,Gervinho,Arsenal,99.855,34.612
138,29.6427478483,-28.77,7.14,False,Marco Estrada,Montpellier,28.77,22.236
141,10.5385304953,9.975,3.4,False,Olivier Giroud,Arsenal,95.025,26.384
142,11.1694863355,8.295,-7.48,False,Rémy Cabella,Montpellier,96.705,45.356
145,31.9476236362,22.26,-22.916,False,Garry Bocaly,Montpellier,82.74,50.184
148,17.4240014061,15.015,-8.84,False,Garry Bocaly,Montpellier,89.985,46.92
150,20.471895369,20.37,2.04,False,Anthony Mounier,Montpellier,84.63,26.452
151,24.0665229936,20.475,-12.648,False,Rémy Cabella,Montpellier,84.525,47.6
152,39.9019670693,31.08,-25.024,False,Marco Estrada,Montpellier,73.92,61.404
153,16.927686227,-8.295,-14.756,False,Santi Cazorla,Arsenal,8.295,47.736
155,34.2365373395,21.315,-26.792,False,Marco Estrada,Montpellier,83.685,58.548
156,27.5502993813,26.25,-8.364,False,Karim Aït-Fana,Montpellier,78.75,39.576
159,11.3046970769,10.92,-2.924,False,Younes Belhanda,Montpellier,94.08,36.516
161,31.1970771868,-21.315,-22.78,False,Paulo Machado,Olympiacos,21.315,52.36
163,17.5489847,15.12,-8.908,False,Klaas-Jan Huntelaar,Schalke,89.88,35.972
164,31.5165099591,-31.5,-1.02,False,José Holebas,Olympiacos,31.5,30.328
166,15.3286822656,-11.13,-10.54,False,Rafik Djebbour,Olympiacos,11.13,39.576
173,35.6357625006,35.175,5.712,False,Roman Neustädter,Schalke,69.825,29.376
175,10.9560204454,10.5,-3.128,True,Benedikt Höwedes,Schalke,94.5,38.08
180,24.4674232399,-22.68,-9.18,False,Christian Fuchs,Schalke,22.68,45.016
181,13.011183651,-11.97,-5.1,False,Tranquillo Barnetta,Schalke,11.97,37.876
184,16.9491239007,16.695,2.924,False,David Fuster,Olympiacos,88.305,35.904
187,14.1214178113,13.755,-3.196,True,Djamel Abdoun,Olympiacos,91.245,37.196
195,16.5901393605,-16.59,0.068,True,Klaas-Jan Huntelaar,Schalke,16.59,30.396
196,16.5968822373,-16.17,-3.74,False,Klaas-Jan Huntelaar,Schalke,16.17,34.0
198,33.0983320426,-28.56,16.728,False,Jefferson Farfán,Schalke,28.56,21.08
205,24.021940492,-18.795,-14.96,False,Tranquillo Barnetta,Schalke,18.795,44.472
210,27.9320991155,21.735,17.544,False,Ariel Ibagaza,Olympiacos,83.265,20.128
217,27.3066299825,-24.675,11.696,False,Jefferson Farfán,Schalke,24.675,26.588
219,31.3091897691,-25.41,18.292,False,Lewis Holtby,Schalke,25.41,20.264
221,12.3425372189,11.865,-3.4,False,Leandro Greco,Olympiacos,93.135,31.824
232,17.1080297229,-11.445,12.716,False,Klaas-Jan Huntelaar,Schalke,11.445,23.732
235,9.4340566036,7.98,5.032,False,Rafik Djebbour,Olympiacos,97.02,24.888
238,13.5847708851,-11.34,-7.48,True,Isco,Málaga,11.34,44.88
240,21.3128825831,20.79,-4.692,False,Igor Denisov,Zenit,84.21,42.84
252,9.18643570706,-8.925,-2.176,True,Javier Saviola,Málaga,8.925,34.136
260,10.6156771334,-10.605,0.476,False,Javier Saviola,Málaga,10.605,29.444
264,12.6491916343,-4.095,11.968,False,Javier Saviola,Málaga,4.095,24.412
268,29.4028447773,29.295,2.516,False,Igor Denisov,Zenit,75.705,29.444
270,22.2167353362,-19.215,-11.152,False,Eliseu,Málaga,19.215,48.892
276,30.7282606081,27.72,-13.26,False,Roman Shirokov,Zenit,77.28,42.432
282,17.0118852865,-16.905,-1.904,False,Eliseu,Málaga,16.905,41.344
293,33.3656331575,25.41,21.624,False,Viktor Fayzulin,Zenit,79.59,14.824
301,10.2684772484,-7.035,-7.48,False,Javier Saviola,Málaga,7.035,37.264
303,20.2764056233,-20.265,-0.68,False,Javier Saviola,Málaga,20.265,32.3
308,27.1800041391,21.735,-16.32,False,Hulk,Zenit,83.265,47.26
309,26.427302719,25.725,-6.052,False,Hulk,Zenit,79.275,33.728
311,9.09701187204,6.405,-6.46,False,Aleksandr Kerzhakov,Zenit,98.595,43.656
316,11.0419730574,11.025,0.612,False,Roman Shirokov,Zenit,93.975,34.0
318,7.51826635602,7.035,2.652,False,Nicolas Lombaerts,Zenit,97.965,35.428
320,15.85289677,-13.02,-9.044,False,Isco,Málaga,13.02,47.6
341,17.3420562795,-7.77,15.504,False,Aleksandr Kerzhakov,Zenit,7.77,20.332
344,12.7515006568,12.705,-1.088,False,Eliseu,Málaga,92.295,35.292
362,14.3569368599,-14.07,-2.856,False,Roman Shirokov,Zenit,14.07,41.48
365,12.8675312706,8.505,9.656,False,Nacho Monreal,Málaga,96.495,19.652
368,23.000202173,21.63,7.82,True,Isco,Málaga,83.37,29.172
375,9.38119480663,8.82,-3.196,False,Joaquín,Málaga,96.18,36.516
378,27.3121924422,27.3,-0.816,False,Duda,Málaga,77.7,33.456
382,11.5175018559,-11.025,-3.332,False,Kanu,Anderlecht,11.025,39.44
386,28.8552633847,-24.465,-15.3,False,Sacha Kljestan,Anderlecht,24.465,45.832
388,10.5631738128,9.135,-5.304,False,Luca Antonini,Milan,95.865,35.088
389,8.66052706248,6.195,-6.052,False,Mathieu Flamini,Milan,98.805,43.18
391,12.765553807,8.19,9.792,False,Kevin-Prince Boateng,Milan,96.81,25.092
394,15.2588584435,-3.885,14.756,False,Guillaume Gillet,Anderlecht,3.885,22.644
396,7.68784521176,6.09,4.692,False,Kevin-Prince Boateng,Milan,98.91,25.024
403,13.8296031758,6.93,11.968,False,Kevin-Prince Boateng,Milan,98.07,19.108
408,16.6292083095,15.435,6.188,False,Urby Emanuelson,Milan,89.565,27.608
409,14.2326426218,-12.39,-7.004,False,Dieudonné Mbokani,Anderlecht,12.39,44.88
410,30.3186485352,-30.135,3.332,False,Cheikhou Kouyaté,Anderlecht,30.135,33.252
415,8.38199075399,2.835,-7.888,False,Lucas Biglia,Anderlecht,102.165,43.316
417,9.88070245479,-9.555,-2.516,False,Kevin-Prince Boateng,Milan,9.555,37.74
419,7.63192144876,-3.465,-6.8,False,Stephan El Shaarawy,Milan,3.465,37.876
425,17.5111393119,-4.2,-17.0,False,Urby Emanuelson,Milan,4.2,46.92
432,17.5111393119,-4.2,-17.0,False,Urby Emanuelson,Milan,4.2,46.92
441,14.9826187297,-11.34,-9.792,False,Mathieu Flamini,Milan,11.34,39.372
449,34.9413222417,23.52,25.84,False,Dieudonné Mbokani,Anderlecht,81.48,11.9
454,25.3207286625,-24.57,6.12,False,Siem de Jong,Ajax,24.57,27.88
461,15.9159095247,12.6,-9.724,False,Mario Götze,Dortmund,92.4,46.104
466,25.7297648843,5.985,25.024,False,Robert Lewandowski,Dortmund,99.015,10.744
468,22.6669853532,22.575,2.04,False,Sebastian Kehl,Dortmund,82.425,30.94
469,26.4950344216,20.265,17.068,False,Sebastian Kehl,Dortmund,84.735,16.796
474,16.8879550272,14.175,9.18,False,Ryan Babel,Ajax,90.825,25.228
475,10.9171315372,9.345,5.644,False,Ryan Babel,Ajax,95.655,26.928
480,15.5462521529,-15.33,-2.584,False,Robert Lewandowski,Dortmund,15.33,38.216
487,15.3791819028,-11.97,9.656,False,Marco Reus,Dortmund,11.97,26.928
491,25.9539250211,-23.1,11.832,False,İlkay Gündoğan ,Dortmund,23.1,23.732
497,21.6416533795,-21.525,2.244,False,İlkay Gündoğan ,Dortmund,21.525,34.136
498,11.4237773525,-11.025,2.992,False,Mats Hummels,Dortmund,11.025,34.0
499,40.1152360581,-37.59,-14.008,False,Marco Reus,Dortmund,37.59,50.796
507,8.24514426799,-8.19,0.952,False,Robert Lewandowski,Dortmund,8.19,37.264
509,12.6647624928,-9.135,8.772,False,Sebastian Kehl,Dortmund,9.135,29.172
512,11.461036646,-9.975,5.644,True,Robert Lewandowski,Dortmund,9.975,27.132
