,displaymin,event_id,field_pass,id,min,outcome,period,player_id,player_name,qualifiers,sec,side,team,team_name,to,to_name,to_x,to_y,to_z,type,x,y
0,1,,f,,0,1,1,15207,Philipp Lahm,{},0,H,357,Germany,41316,Benedikt Höwedes,,,,102,0.0,0.0
1,1,,f,,0,1,1,41316,Benedikt Höwedes,{},0,H,357,Germany,15208,Bastian Schweinsteiger,,,,102,0.0,0.0
2,1,,f,,0,1,1,15208,Bastian Schweinsteiger,{},0,H,357,Germany,40691,Jerome Boateng,,,,102,0.0,0.0
3,1,,f,,0,1,1,40691,Jerome Boateng,{},0,H,357,Germany,38392,Mats Hummels,,,,102,0.0,0.0
4,1,,f,,0,1,1,38392,Mats Hummels,{},0,H,357,Germany,100927,Christoph Kramer,,,,102,0.0,0.0
5,1,,f,,0,1,1,100927,Christoph Kramer,{},0,H,357,Germany,44989,Toni Kroos,,,,102,0.0,0.0
6,1,,f,,0,1,1,44989,Toni Kroos,{},0,H,357,Germany,5155,Miroslav Klose,,,,102,0.0,0.0
7,1,,f,,0,1,1,5155,Miroslav Klose,{},0,H,357,Germany,55634,Thomas Müller,,,,102,0.0,0.0
8,1,,f,,0,1,1,55634,Thomas Müller,{},0,H,357,Germany,37605,Mesut Özil,,,,102,0.0,0.0
9,1,,f,,0,1,1,37605,Mesut Özil,{},0,H,357,Germany,,,,,,102,0.0,0.0
10,1,,f,,0,1,1,20388,Manuel Neuer,{},0,H,357,Germany,15207,Philipp Lahm,,,,102,0.0,0.0
11,1,,f,,0,1,1,42899,Sergio Romero,{},0,A,632,Argentina,20658,Pablo Zabaleta,,,,102,0.0,0.0
12,1,,f,,0,1,1,55661,Enzo Pérez,{},0,A,632,Argentina,,,,,,102,0.0,0.0
13,1,,f,,0,1,1,58893,Marcos Rojo,{},0,A,632,Argentina,32644,Javier Mascherano,,,,102,0.0,0.0
14,1,,f,,0,1,1,32644,Javier Mascherano,{},0,A,632,Argentina,15312,Martín Demichelis,,,,102,0.0,0.0
15,1,,f,,0,1,1,15312,Martín Demichelis,{},0,A,632,Argentina,28525,Ezequiel Garay,,,,102,0.0,0.0
16,1,,f,,0,1,1,28525,Ezequiel Garay,{},0,A,632,Argentina,45154,Ezequiel Lavezzi,,,,102,0.0,0.0
17,1,,f,,0,1,1,45154,Ezequiel Lavezzi,{},0,A,632,Argentina,39462,Lucas Biglia,,,,102,0.0,0.0
18,1,,f,,0,1,1,39462,Lucas Biglia,{},0,A,632,Argentina,40232,Gonzalo Higuaín,,,,102,0.0,0.0
19,1,,f,,0,1,1,40232,Gonzalo Higuaín,{},0,A,632,Argentina,19054,Lionel Messi,,,,102,0.0,0.0
20,1,,f,,0,1,1,19054,Lionel Messi,{},0,A,632,Argentina,55661,Enzo Pérez,,,,102,0.0,0.0
21,1,,f,,0,1,1,20658,Pablo Zabaleta,{},0,A,632,Argentina,58893,Marcos Rojo,,,,102,0.0,0.0
22,1,1,f,2137779383,0,1,1,55661,Enzo Pérez,{},0,A,632,Argentina,,,,,,34,0.0,0.0
23,1,1,f,913777259,0,1,1,37605,Mesut Özil,{},0,H,357,Germany,,,,,,34,0.0,0.0
24,1,3,t,591083398,0,1,1,5155,Miroslav Klose,{},1,H,357,Germany,55634,Thomas Müller,50.6,48.2,,1,49.9,49.3
25,1,,t,,0,1,1,55634,Thomas Müller,{},1,H,357,Germany,,,,,,100,50.6,48.2
26,1,4,t,1044916962,0,1,1,55634,Thomas Müller,{},2,H,357,Germany,44989,Toni Kroos,37.5,50.7,,1,50.6,48.2
27,1,,t,,0,1,1,44989,Toni Kroos,{},3,H,357,Germany,,,,,,100,37.5,50.7
28,1,5,t,931446433,0,1,1,44989,Toni Kroos,{},4,H,357,Germany,40691,Jerome Boateng,29.8,15.9,,1,37.5,50.7
29,1,6,t,1263382287,0,0,1,40691,Jerome Boateng,{},7,H,357,Germany,,,73.6,38.9,,1,32.7,8.9
30,1,3,f,1762269680,0,1,1,28525,Ezequiel Garay,{},10,A,632,Argentina,32644,Javier Mascherano,,,,12,25.0,67.9
31,1,4,t,324899756,0,1,1,32644,Javier Mascherano,{},11,A,632,Argentina,58893,Marcos Rojo,22.0,92.1,,1,30.6,80.0
32,1,5,f,1217399647,0,1,1,58893,Marcos Rojo,{},12,A,632,Argentina,,,,,,49,22.0,92.1
33,1,6,t,1715794506,0,1,1,58893,Marcos Rojo,{},13,A,632,Argentina,40232,Gonzalo Higuaín,43.7,84.8,,1,22.7,93.9
34,1,7,f,1918439832,0,1,1,40232,Gonzalo Higuaín,{},17,A,632,Argentina,,,,,,50,39.0,69.8
35,1,7,f,56369329,0,1,1,40691,Jerome Boateng,{},17,H,357,Germany,44989,Toni Kroos,,,,7,61.0,30.2
36,1,8,f,1581224395,0,1,1,44989,Toni Kroos,{},19,H,357,Germany,,,,,,49,62.9,44.9
37,1,9,t,1710651419,0,1,1,44989,Toni Kroos,{},19,H,357,Germany,55634,Thomas Müller,72.2,43.1,,1,62.9,44.9
